Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer,Manufacturer_Name,Height,RS Price/Stock,RS Part Number,Manufacturer_Part_Number,Note
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Component Groups:,43,,,,,,,,,,,,,,,,,,,,
Component Count:,69,,,,,,,,,,,,,,,,,,,,
Fitted Components:,69,,,,,,,,,,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,,,,,,,,,,
Total components:,69,,,,,,,,,,,,,,,,,,,,
Schematic Version:,1,,,,,,,,,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,,,,,,,,,,
BoM Date:,"Monday, March 26, 2018 'PMt' 10:55:55 PM",,,,,,,,,,,,,,,,,,,,
Schematic Source:,/Users/gc/GitHub/KLON/KLON.sch,,,,,,,,,,,,,,,,,,,,
KiCad Version:,Eeschema 4.0.7,,,,,,,,,,,,,,,,,,,,
